,opeidstring,school,pellrecip_2014,pellrecip_2015,pellrecip_2006,pellrecip_2007,pellrecip_2008,pellrecip_2009,pellrecip_2010,pellrecip_2011,pellrecip_2012,pellrecip_2013,pelldisburse_2014,pelldisburse_2015,pelldisburse_2006,pelldisburse_2007,pelldisburse_2008,pelldisburse_2009,pelldisburse_2010,pelldisburse_2011,pelldisburse_2012,pelldisburse_2013,seogrecip_2014,seogdisburse_2014,seogdisburse_2007,seogdisburse_2008,seogdisburse_2009,seogdisburse_2010,seogdisburse_2011,seogdisburse_2012,seogdisburse_2013,seogrecip_2007,seogrecip_2008,seogrecip_2009,seogrecip_2010,seogrecip_2011,seogrecip_2012,seogrecip_2013,teachrecip_2014,teachdisburse_2014,teachrecip_2015,teachdisburse_2015,teachdisburse_2009,teachdisburse_2010,teachdisburse_2011,teachdisburse_2012,teachrecip_2009,teachrecip_2010,teachrecip_2011,teachrecip_2012,iraqrecip_2014,iraqdisburse_2014,iraqrecip_2015,iraqdisburse_2015,workrecip_2014,workdisburse_2014,workdisburse_2007,workdisburse_2008,workdisburse_2009,workdisburse_2010,workdisburse_2011,workdisburse_2012,workdisburse_2013,workrecip_2007,workrecip_2008,workrecip_2009,workrecip_2010,workrecip_2011,workrecip_2012,workrecip_2013,avepell_2014,avepell_2013,avepell_2008,avepell_2009,avepell_2010,avepell_2011,avepell_2012,pellperc_2014,pellperc_2013,pellperc_2008,pellperc_2009,pellperc_2010,pellperc_2011,pellperc_2012,totalpellperc_2009,totalpellperc_2010,totalpellperc_2011,totalpellperc_2012,statelocalaidperc_2014,avestatelocalaid_2014,statelocalaidperc_2013,avestatelocalaid_2013,avestatelocalaid_2006,avestatelocalaid_2007,avestatelocalaid_2008,avestatelocalaid_2009,avestatelocalaid_2010,avestatelocalaid_2011,avestatelocalaid_2012,statelocalaidperc_2006,statelocalaidperc_2007,statelocalaidperc_2008,statelocalaidperc_2009,statelocalaidperc_2010,statelocalaidperc_2011,statelocalaidperc_2012
1,5.00E+05,Pierce College-Fort Steilacoom,488,649,NA,NA,NA,NA,NA,NA,NA,NA,574335.11,719689.35,NA,NA,NA,NA,NA,NA,NA,NA,424,167778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,81,145046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3980,4029,NA,NA,NA,NA,NA,0.45,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,2991,0.3,2797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,100200,Alabama A & M University,106,71,3587,3120,2873,2861,3178,3639,3201,3175,183298.03,124914.38,9529431,9524801,9110415,10254938,14800090,16678977,14306354,13765115,117,219050,584974,401988,332626,235628,264403,192593,223853,279,173,140,129,184,167,131,1,2820,3,3290,NA,NA,14000,33056,NA,NA,6,NA,NA,NA,0,0,121,255489,455660,442821,364622,402240,250783,269991,229778,184,198,143,141,83,110,92,4818,4807,3386,3812,4797,4654,4810,0.8,0.81,0.31,0.49000001,0.7,0.75,0.79,0.54,0.63,0.69,0.7,0.01,1250,0.01,1312,653,909,1443,1459,1111,1557,887,0.02,0.159999996,0.11,0.039999999,0.04,0.04,0.06
3,100300,Faulkner University,364,335,1542,1593,1780,1850,2102,2125,2178,2003,783484.75,722468,3773245,3999106,4904927,5769573,8620508,9164934,8075632,7419394,269,199454,283429,284046,290660,345000,279969,235216,213052,359,374,384,466,360,251,288,NA,NA,0,0,NA,4000,6000,4000,NA,1,2,NA,NA,NA,0,0,209,278180,195707,186457,228969,211364,236502,256863,313660,134,135,149,160,165,192,237,3914,3961,2701,3111,3398,2276,3714,0.5,0.57,0.52,0.319999993,0.51,0.4,0.44,0.48,0.77,0.58,0.77,0.54,561,0.64,482,216,584,1095,2406,569,259,660,0.620000005,0.649999976,0.62,0.239999995,0.43,0.6,0.62
4,100400,University of Montevallo,56,55,749,673,732,796,961,1083,1124,1163,88475,74596,1940963,1806797,2190505,2718392,4213683,4798605,4557328,4652761,156,157450,185870,187868,173670,164850,164980,172159,169344,179,179,156,149,158,170,154,NA,NA,0,0,NA,22000,23500,19500,NA,8,7,NA,NA,NA,0,0,106,138353,132160,131949,136746,152667,130544,142526,146807,113,99,92,109,91,104,110,4638,4291,3104,3597,4262,4752,4512,0.38,0.38,0.24,0.310000002,0.35,0.35,0.39,0.29,0.34,0.4,0.41,0.01,1100,0.01,1084,1499,1200,1128,1182,943,1257,1200,0.079999998,0.01,0.04,0.02,0.02,0.02,0.02
5,100500,Alabama State University,288,258,3501,3500,3689,3731,4038,4208,4315,4512,460397,441172,10203395,10420257,11755002,13028399,18583251,19691974,18124063,18654503,472,434330,638800,760400,664798,493823,537048,582567,375700,660,782,668,398,456,552,301,12,14368,8,12978,31000,101500,147351,94500,12,40,54,NA,NA,NA,0,0,707,933097,1255004,1147543,1417069,1151350,1426680,1471184,1264046,1267,2765,1160,1034,1485,1024,794,4670,4739,3430,3791,4941,4689,4723,0.71,0.76,0.51,0.730000019,0.73,0.82,0.79,0.7,0.74,0.73,0.78,0.07,7381,0.11,5649,2535,2449,1469,2618,3839,4158,3692,0.039999999,0.059999999,0.13,0.150000006,0.07,0.14,0.17
6,100700,Central Alabama Community College,301,301,1387,1334,1428,1508,1884,2107,2016,1709,516802.7,483416.12,3220611,3249135,3697834,4274302,7411344,7832897,7084172,6087558,142,72993,29812,50722,60000,69900,76500,92400,80000,45,72,58,100,135,151,160,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,56094,52804,67313,44731,62378,60617,43799,48758,35,28,20,22,29,14,21,4255,4397,3144,3611,5360,5109,4332,0.67,0.38,0.5,0.479999989,0.63,0.69,0.72,0.47,0.55,0.62,0.64,0.05,1248,0,600,1627,1468,823,885,754,577,572,0.050000001,0.039999999,0.11,0.090000004,0.06,0.06,0.09
7,100800,Athens State University,404,405,982,1031,1122,1169,1494,1679,1772,1642,537665.62,528148,2227152,2311921,2684607,3280503,5689928,6487567,5903674,5600115,93,84561,83131,75633,90724,92570,74961,82802,88654,92,85,96,103,81,94,104,5,6857,5,5690,162000,171934,211500,186059,46,57,67,NA,NA,NA,0,0,21,58119,51576,81976,51060,104435,67367,65336,54629,19,25,15,35,22,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.35,0.38,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
8,100900,Auburn University,274,244,2781,2606,2824,2771,3298,3827,3785,3615,433638,387217,7385330,7017618,8119698,9065416,14032515,16159783,14720502,14058359,674,615328,1748910,1430869,1133834,648230,698549,542153,531534,1347,1145,1101,713,760,587,585,11,20812,7,10198,98500,130723,185250,154052,29,45,57,NA,NA,NA,0,0,230,723311,834996,1001262,1021462,1062758,947464,858617,763935,402,417,407,353,295,264,229,4330,4201,4215,3442,4298,4347,4137,0.13,0.13,0.12,0.090000004,0.11,0.14,0.13,0.13,0.15,0.18,0.18,0,2180,0.01,1243,6622,5382,4230,6094,7157,9255,7971,0.050000001,0.039999999,0.04,0.02,0.02,0.02,0.02
9,101200,Birmingham Southern College,2,0,156,168,219,243,331,370,285,263,5342,0,380587,444392,649357,851386,1453554,1547721,1154377,1016429,104,133200,247836,289583,227263,134500,142733,145209,154569,101,118,119,76,78,165,133,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,221,210096,211759,267238,244822,206738,174196,238198,223695,153,219,238,166,211,241,209,4241,4062,3480,3522,4258,3961,3989,0.2,0.21,0.16,0.159999996,0.22,0.27,0.23,0.17,0.21,0.24,0.22,0.25,491,0.26,433,390,531,587,525,494,487,443,0.469999999,0.479999989,0.43,0.430000007,0.45,0.49,0.39
10,101300,John C Calhoun State Community College,1273,1011,3248,2962,3175,3612,5351,6569,6749,5835,1715308,1383022,6798558,6296715,7311093,9448159,17793521,22085218,21612200,18357550,618,364166,348214,216624,256789,278053,257571,307115,377914,561,362,531,582,466,518,703,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,64,227719,220337,159049,181112,213131,220511,290655,204276,68,53,49,65,64,86,62,4917,4863,1681,3409,4482,4571,4482,0.52,0.55,0.36,0.349999994,0.48,0.53,0.59,0.26,0.34,0.4,0.43,0.01,3937,0.02,3199,2406,703,800,1856,989,3358,1669,0.039999999,0.119999997,0.01,0.039999999,0.06,0.02,0.05
